Number of nodes 316 
   349 :    207    309    262
   350 :    181    273    177
   351 :    177    306     96
   352 :    202    284    173
   353 :     42    273     41
   354 :    115    301    165
   355 :    114    301    115
   356 :    161    246    206
   357 :     80    299    126
   358 :    188    310    240
   359 :     43    247     42
   360 :    240    310     18
   361 :    170    288    257
   362 :     39    248     38
   363 :    140    301    114
   364 :     24    249    123
   365 :    233    278     86
   366 :     74    266     73
   367 :    113    302    125
   368 :    211    279     11
   369 :    112    303    214
   370 :    216    303    112
   371 :    214    303    167
   372 :    214    302    113
   373 :    124    250    149
   374 :    158    251    184
   375 :    126    257    219
   376 :    308    313    138
   377 :    206    312    153
   378 :    287    314    203
   379 :    204    287    203
   380 :     99    289    209
   381 :     41    254     40
   382 :     54    255     53
   383 :    220    258     76
   384 :    237    252    129
   385 :     75    265     74
   386 :    174    285    239
   387 :    190    311    181
   388 :     62    267     61
   389 :    123    277    235
   390 :     82    260     81
   391 :    226    295    193
   392 :     84    261     83
   393 :     68    262     67
   394 :    236    259    167
   395 :    189    263    198
   396 :     43    275    247
   397 :     92    285     91
   398 :    117    265    118
   399 :    217    269    109
   400 :    153    264    152
   401 :    275    306    247
   402 :      7    294      8
   403 :     91    285    174
   404 :    138    313     49
   405 :    104    268    105
   406 :    255    256    166
   407 :     57    305     56
   408 :    221    291    204
   409 :     51    281     50
   410 :    160    291    221
   411 :    254    273    181
   412 :    109    269    110
   413 :    173    284    217
   414 :    166    281     51
   415 :    132    272    225
   416 :     25    270    249
   417 :    111    304    216
   418 :      9    274      0
   419 :    232    315    252
   420 :    122    296    238
   421 :    252    315    129
   422 :    121    314    287
   423 :    232    291    160
   424 :    219    288    169
   425 :    175    272    228
   426 :    197    278    233
   427 :     55    293     54
   428 :     44    275     43
   429 :    263    292    200
   430 :    233    294      7
   431 :    260    299     81
   432 :    192    277    185
   433 :     11    279     10
   434 :     86    278     85
   435 :      6    276    188
   436 :      5    282     16
   437 :     50    281    138
   438 :    128    309    246
   439 :    180    308    196
   440 :      4    280     15
   441 :    255    293    256
   442 :    110    286    111
   443 :    237    287    252
   444 :    195    313    308
   445 :    133    283    234
   446 :    178    312    179
   447 :    272    296    225
   448 :     46    289     45
   449 :     97    306    275
   450 :    261    297    127
   451 :    175    296    272
   452 :    196    290    182
   453 :    216    304     31
   454 :    239    285    211
   455 :    121    287    237
